2.0000	1	0	0	0	0	0	0	0	0	0
1.4142	1.4142	1	0	0	0	0	0	0	0	0
1.0000	2.0000	1.0000	1	0	0	0	0	0	0	0
0.7654	1.8478	1.8478	0.7654	1	0	0	0	0	0	0
0.6180	1.6180	2.0000	1.6180	0.6180	1	0	0	0	0	0
0.5176	1.4142	1.9318	1.9318	1.4142	0.5176	1	0	0	0	0
0.4450	1.2470	1.8019	2.0000	1.8019	1.2470	0.4450	1	0	0	0
0.3902	1.1111	1.6629	1.9615	1.9615	1.6629	1.1111	0.3902	1	0	0
0.3473	1.0000	1.5321	1.8794	2.0000	1.8794	1.5321	1.0000	0.3473	1	0
0.3129	0.9080	1.4142	1.7820	1.9754	1.9754	1.7820	1.4142	0.9080	0.3129	1
