0.6986	1	0	0	0	0	0	0	0	0	0
1.4029	0.7071	1.9841	0	0	0	0	0	0	0	0
1.5963	1.0967	1.5963	1	0	0	0	0	0	0	0
1.6703	1.1926	2.3661	0.8419	1.9841	0	0	0	0	0	0
1.7058	1.2296	2.5408	1.2296	1.7058	1	0	0	0	0	0
1.7254	1.2479	2.6064	1.3137	2.4758	0.8696	1.9841	0	0	0	0
1.7372	1.2583	2.6381	1.3444	2.6381	1.2583	1.7372	1	0	0	0
1.7451	1.2647	2.6564	1.3590	2.6964	1.3389	2.5093	0.8796	1.9841	0	0
1.7504	1.2690	2.6678	1.3673	2.7939	1.3673	2.6678	1.2690	1.7504	1	0
1.7543	1.2721	2.6754	1.3725	2.7392	1.3806	2.7231	1.3485	2.5239	0.8842	1.9841
