1.9953	1	0	0	0	0	0	0	0	0	0
3.1013	0.5339	5.8095	0	0	0	0	0	0	0	0
3.3487	0.7117	3.3487	1	0	0	0	0	0	0	0
3.4389	0.7483	4.3471	0.592	5.8095	0	0	0	0	0	0
3.4817	0.7618	4.5381	0.7618	3.4817	1	0	0	0	0	0
3.5045	0.7685	4.6061	0.7929	4.4641	0.6033	5.8095	0	0	0	0
3.5182	0.7723	4.6386	0.8039	4.6386	0.7723	3.5182	1	0	0	0
3.5277	0.7745	4.6575	0.8089	4.6990	0.8018	4.499	0.6073	5.8095	0	0
3.534	0.776	4.6692	0.8118	4.7272	0.8118	4.6692	0.776	3.534	1	0
3.5384	0.7771	4.6768	0.8136	4.7425	0.8164	4.726	0.8051	4.5142	0.6091	5.8095
